region,n,mean,std,median,dataset,sample
Tumor,1237,0.1498606133966491,1.0082722823991377,0.1238024235253563,visium/denisenko_2022,SP1
Interface,653,-0.0413543224202088,0.998380270576604,-0.0349028258835278,visium/denisenko_2022,SP1
Stroma,659,-0.2483680703718364,0.9960978785884486,-0.2195236762196955,visium/denisenko_2022,SP1
Tumor,991,0.3130504289586112,1.0279404109137658,0.2866471749919145,visium/denisenko_2022,SP2
Interface,372,-0.1297188237995644,0.9336968987933804,-0.1940526737138223,visium/denisenko_2022,SP2
Stroma,563,-0.1295795630850281,0.8756500552257479,-0.1896766882902173,visium/denisenko_2022,SP2
Tumor,446,0.3117785096297809,1.0652655629607777,0.4449033095637913,visium/denisenko_2022,SP3
Interface,289,0.1833448638493692,0.9936716731016538,0.2396894371506504,visium/denisenko_2022,SP3
Stroma,757,-0.2658089812520395,0.9188218540628644,-0.2875805611225949,visium/denisenko_2022,SP3
Tumor,1356,0.4450586916817002,0.9631745992047082,0.4131257496555394,visium/denisenko_2022,SP4
Interface,811,-0.1158946238266509,0.9047694412802356,-0.1735798328824417,visium/denisenko_2022,SP4
Stroma,677,-0.5689583702326512,1.1020185772681637,-0.5784316546609639,visium/denisenko_2022,SP4
Tumor,862,0.5795048283967728,1.1844105656696466,0.4651149454327662,visium/denisenko_2022,SP5
Interface,525,0.0312183241722441,0.8235571242820993,0.0234324039674483,visium/denisenko_2022,SP5
Stroma,601,-0.593164572161514,0.8426157344509477,-0.6479331253777022,visium/denisenko_2022,SP5
Tumor,719,0.7901131576573185,1.166915129816451,0.6157265895010119,visium/denisenko_2022,SP6
Interface,453,-0.0445608541487387,0.8369793097409991,-0.0708243851410927,visium/denisenko_2022,SP6
Stroma,586,-0.6503374821871298,0.8293953511381673,-0.618755358500775,visium/denisenko_2022,SP6
Tumor,1633,0.2866216842574274,0.964266577346726,0.3021783877020109,visium/denisenko_2022,SP7
Interface,952,-0.1096342519535454,1.000778849036703,-0.1479986409618258,visium/denisenko_2022,SP7
Stroma,837,-0.5057129144894495,0.8844914029448928,-0.5728547693325265,visium/denisenko_2022,SP7
Tumor,643,0.7849204151660172,0.8119903666031837,0.8740111563323718,visium/denisenko_2022,SP8
Interface,344,0.4201842789632092,0.9029587131386316,0.4491404168142636,visium/denisenko_2022,SP8
Stroma,2046,-0.3626221989758068,0.938502462790343,-0.3254713832856526,visium/denisenko_2022,SP8
Tumor,509,0.6231733144872242,0.7182308911435443,0.6516821617613991,visium/yamamoto_2025,Pt1-1
Interface,351,0.2034789458144619,0.8556710708452241,0.1746918854013669,visium/yamamoto_2025,Pt1-1
Stroma,665,-0.6106416465139051,0.8182278701150146,-0.5674439032965763,visium/yamamoto_2025,Pt1-1
Tumor,678,0.2155146985018471,0.7975168204386743,0.263510343255755,visium/yamamoto_2025,Pt1-2
Interface,221,-0.2348765511939359,0.969390312792828,-0.2456334139281126,visium/yamamoto_2025,Pt1-2
Stroma,232,-1.1590750238473608,1.321790873659349,-1.1077692297829906,visium/yamamoto_2025,Pt1-2
Tumor,1329,0.1552086282596004,1.037167098637591,0.1101258571826607,visium/yamamoto_2025,Pt1-3
Interface,447,-0.019475345790453,1.00719515174176,-0.0644429672205957,visium/yamamoto_2025,Pt1-3
Stroma,226,-1.1814891389493891,1.6772054169773116,-1.003767687342139,visium/yamamoto_2025,Pt1-3
Tumor,777,0.2367646665011758,0.9256064708126596,0.2549954396000524,visium/yamamoto_2025,Pt1-4
Interface,373,-0.1170880644071422,1.0105480851810087,-0.103035100495866,visium/yamamoto_2025,Pt1-4
Stroma,237,-0.7888301753750709,1.1227680862817253,-0.8130020836118456,visium/yamamoto_2025,Pt1-4
Tumor,973,0.1907488454494368,0.886361875146822,0.1556481240954156,visium/yamamoto_2025,Pt2-1
Interface,510,-0.1400403230647554,1.0680404553588123,-0.1465803707304843,visium/yamamoto_2025,Pt2-1
Stroma,350,-0.5687809615712169,1.3755323739144198,-0.4624882796740691,visium/yamamoto_2025,Pt2-1
Tumor,1212,0.0989289228716396,0.9574753000669796,0.0671308175298455,visium/yamamoto_2025,Pt2-2
Interface,640,-0.070249044442827,1.0246119650804535,-0.1002110275522552,visium/yamamoto_2025,Pt2-2
Stroma,174,-0.3485785979415174,1.22281397718897,-0.2855494928056891,visium/yamamoto_2025,Pt2-2
Tumor,1328,0.1410838907167792,0.910177057103609,0.1257107848276486,visium/yamamoto_2025,Pt2-3
Interface,388,-0.1384381227545978,1.1964437490624766,-0.1105267738119019,visium/yamamoto_2025,Pt2-3
Stroma,395,-0.6250863566027808,1.3392821278271496,-0.5950534961986175,visium/yamamoto_2025,Pt2-3
Tumor,1536,0.2663465780373973,0.8832447895599556,0.2360639896498158,visium/yamamoto_2025,Pt2-4
Interface,359,0.2801310483790545,0.9161308821488972,0.2642375657700166,visium/yamamoto_2025,Pt2-4
Stroma,1375,-0.3451235106188413,0.9979871307710398,-0.3693487322269524,visium/yamamoto_2025,Pt2-4
Tumor,2238,0.0502902822797848,0.938600720297306,0.0093985215777815,visium/ju_2024,CPS_OV19_LtOV1
Interface,1080,0.0594714998301551,1.0285597251264358,0.0536708746109518,visium/ju_2024,CPS_OV19_LtOV1
Stroma,884,-0.1533569656932828,1.1972127293107728,-0.1097065099808301,visium/ju_2024,CPS_OV19_LtOV1
Tumor,2162,0.0917494149124998,1.031338539842083,0.0456585085511114,visium/ju_2024,CPS_OV1RtOV3
Interface,899,-0.0640066137407007,0.9627155481663596,-0.068319283505073,visium/ju_2024,CPS_OV1RtOV3
Stroma,103,-0.2149423248762596,0.8246234648497287,-0.208617964715761,visium/ju_2024,CPS_OV1RtOV3
Tumor,2000,0.0493432100356749,0.9639859169272456,0.0279926272484151,visium/ju_2024,CPS_OV20RtOV4
Interface,656,0.1164180194974464,1.140069132181902,0.1017661837713772,visium/ju_2024,CPS_OV20RtOV4
Stroma,379,-0.2971550446255288,1.1204404642231138,-0.3856876341699271,visium/ju_2024,CPS_OV20RtOV4
Tumor,2726,0.1912767411915022,0.8766766302114952,0.1905274756819019,visium/ju_2024,CPS_OV24RTOV4
Interface,901,-0.1450482073692315,0.9090045465119037,-0.1477283487638985,visium/ju_2024,CPS_OV24RTOV4
Stroma,852,-0.4593370850525899,1.2648909905897598,-0.6501822908553384,visium/ju_2024,CPS_OV24RTOV4
Tumor,1980,0.2248347315537793,1.0155974125721268,0.2345440426980353,visium/ju_2024,CPS_OV34RtOV1
Interface,693,-0.0048370804854147,0.9499474482756264,-0.0267194607950255,visium/ju_2024,CPS_OV34RtOV1
Stroma,842,-0.460283759226369,0.8505415571778038,-0.4955002827666452,visium/ju_2024,CPS_OV34RtOV1
Tumor,1786,0.2547211665790004,0.9795258098089252,0.2478914036392981,visium/ju_2024,CPS_OV5LtOV4
Interface,1149,-0.0927359699481732,1.0030152840105302,-0.0965657790546719,visium/ju_2024,CPS_OV5LtOV4
Stroma,650,-0.5352527900421321,1.0114330368714148,-0.5702697471970367,visium/ju_2024,CPS_OV5LtOV4
Tumor,916,0.2563940536944899,0.9312343848459994,0.2277870141766238,visium/ju_2024,CPS_OV71_1
Interface,494,0.0148473059841169,1.0901143680029532,-0.0007328595192094,visium/ju_2024,CPS_OV71_1
Stroma,750,-0.2324401717569081,1.0788824926933978,-0.3488570985144511,visium/ju_2024,CPS_OV71_1
