model,rung,median_r2,iqr_low,iqr_high,n_units
composition_only,within_sample_outer_cv,0.0685138247354886,0.0483208235699917,0.10545225203471276,23
composition_only,LOSO,0.04391241619555686,0.03316587912125263,0.0740549933287245,23
composition_only,LODO,0.04191504062537499,0.032033066893048745,0.07212223165667936,23
hallmarks_only,within_sample_outer_cv,0.3378768154954049,0.18952678746594132,0.44434684792727197,23
hallmarks_only,LOSO,0.0,0.0,0.0,23
hallmarks_only,LODO,0.0,-0.003086825609917354,0.0,23
combined,within_sample_outer_cv,0.3470679156442458,0.19365819278820665,0.44423475660159767,23
combined,LOSO,0.03642967151979648,0.02325626832006633,0.06711871273726316,23
combined,LODO,0.032986035674439695,0.013953853234834113,0.05282048266795447,23
