malignant_threshold,n_pathways,median_high_iqr,median_low_iqr,median_high_minus_low_iqr,n_pathways_high_iqr_gt_low,fraction_pathways_high_iqr_gt_low
0.1,50,0.2690558584195754,0.17905381336580878,0.08385334077221313,44,0.88
0.2,50,0.27903450006110464,0.159965413719937,0.1214731673670173,47,0.94
0.3,50,0.30092433764924575,0.1408831681319906,0.16237215002710959,48,0.96
0.4,50,0.339139051905887,0.1481796049325829,0.17836395007001876,49,0.98
0.5,50,0.3513504914522082,0.1589864643286777,0.18478200244091864,48,0.96
0.6,50,0.3699911292870448,0.1803059234039095,0.17982931992683332,47,0.94
0.7,50,0.3936117783162284,0.20090467101830403,0.20089992027871442,48,0.96
0.8,50,0.4458037661936224,0.23000062254697104,0.2122459071407209,48,0.96
0.9,50,0.49788514997046995,0.2610641261952773,0.25307463280078174,48,0.96
1.0,50,0.5361221375544942,0.34059459052968744,0.22127237351724646,46,0.92
