matched_malignancy_threshold,snai1ac_side,theme,count
0.05,high,Epithelial_tumor,18
0.05,high,Vascular_coag_hypoxia,16
0.05,high,Immune_inflammatory,14
0.05,high,ECM_stromal,12
0.05,high,Translation_ribosome,9
0.05,high,Metabolic_stress,6
0.05,high,No_recurrent_theme,1
0.05,low,Immune_inflammatory,19
0.05,low,Epithelial_tumor,15
0.05,low,ECM_stromal,12
0.05,low,Vascular_coag_hypoxia,12
0.05,low,Translation_ribosome,11
0.05,low,Metabolic_stress,8
0.1,high,Vascular_coag_hypoxia,34
0.1,high,Epithelial_tumor,34
0.1,high,Immune_inflammatory,28
0.1,high,ECM_stromal,24
0.1,high,Translation_ribosome,20
0.1,high,Metabolic_stress,14
0.1,high,No_recurrent_theme,1
0.1,low,Immune_inflammatory,31
0.1,low,Epithelial_tumor,31
0.1,low,Vascular_coag_hypoxia,25
0.1,low,ECM_stromal,24
0.1,low,Translation_ribosome,24
0.1,low,Metabolic_stress,12
0.1,low,No_recurrent_theme,1
