dataset,sample,resolution_k,n_domains,mixed_hh_ll_domains,has_mixed_hh_ll_domain,lisa_hh_spots,lisa_ll_spots,top_mean_snai1ac_domain,top_mean_malignant_domain,top_domains_agree,between_to_within_snai1ac_variance_ratio
visium/denisenko_2022,SP1,5,5,4,True,116,100,4,1,False,0.0685797956200257
visium/denisenko_2022,SP2,5,5,5,True,133,69,2,2,True,0.3554481727293265
visium/denisenko_2022,SP3,5,5,5,True,55,77,4,0,False,0.0673063692727911
visium/denisenko_2022,SP4,5,5,5,True,160,128,4,1,False,0.1648902438612991
visium/denisenko_2022,SP5,5,5,4,True,89,42,2,3,False,0.1885528287616982
visium/denisenko_2022,SP6,5,5,4,True,131,97,2,3,False,0.0925803865228159
visium/denisenko_2022,SP7,5,5,4,True,152,135,1,1,True,0.0944635094545345
visium/denisenko_2022,SP8,5,5,4,True,166,225,2,2,True,0.2477616400479169
visium/ju_2024,CPS_OV19_LtOV1,5,5,4,True,83,120,1,1,True,0.0561816270493874
visium/ju_2024,CPS_OV1RtOV3,5,5,4,True,87,59,3,3,True,0.0106980410077103
visium/ju_2024,CPS_OV20RtOV4,5,5,5,True,82,62,4,0,False,0.0141743685222039
visium/ju_2024,CPS_OV24RTOV4,5,5,5,True,250,308,4,3,False,0.3185567297904653
visium/ju_2024,CPS_OV34RtOV1,5,5,4,True,183,176,3,2,False,0.0924729116320502
visium/ju_2024,CPS_OV5LtOV4,5,5,5,True,126,161,4,2,False,0.1101618702772574
visium/ju_2024,CPS_OV71_1,5,5,3,True,58,34,2,0,False,0.0455200316036177
visium/yamamoto_2025,Pt1-1,5,5,1,True,85,86,3,3,True,0.5961763881587114
visium/yamamoto_2025,Pt1-2,5,5,4,True,34,90,1,1,True,0.4288149607526886
visium/yamamoto_2025,Pt1-3,5,5,3,True,70,76,4,4,True,0.3806486185185186
visium/yamamoto_2025,Pt1-4,5,5,5,True,58,68,0,0,True,0.1230946668896812
visium/yamamoto_2025,Pt2-1,5,5,3,True,60,93,1,1,True,0.2819047684133225
visium/yamamoto_2025,Pt2-2,5,5,4,True,82,50,0,1,False,0.0321978256515786
visium/yamamoto_2025,Pt2-3,5,5,4,True,40,63,4,0,False,0.0533707328543798
visium/yamamoto_2025,Pt2-4,5,5,5,True,212,206,3,0,False,0.1402477767944332
visium/denisenko_2022,SP1,9,9,7,True,116,100,8,8,True,0.1110323138634917
visium/denisenko_2022,SP2,9,9,6,True,133,69,4,4,True,0.3471614795649777
visium/denisenko_2022,SP3,9,9,7,True,55,77,5,6,False,0.1216510934014502
visium/denisenko_2022,SP4,9,9,6,True,160,128,3,7,False,0.2589780907539232
visium/denisenko_2022,SP5,9,9,2,True,89,42,7,5,False,0.5285544360856751
visium/denisenko_2022,SP6,9,9,3,True,131,97,6,8,False,0.8008273245421367
visium/denisenko_2022,SP7,9,8,7,True,152,135,8,2,False,0.2358099045460554
visium/denisenko_2022,SP8,9,9,7,True,166,225,5,5,True,0.3086340944817045
visium/ju_2024,CPS_OV19_LtOV1,9,9,8,True,83,120,6,4,False,0.2144178402781486
visium/ju_2024,CPS_OV1RtOV3,9,9,5,True,87,59,8,4,False,0.0537054922682706
visium/ju_2024,CPS_OV20RtOV4,9,9,8,True,82,62,8,6,False,0.050347015567508
visium/ju_2024,CPS_OV24RTOV4,9,9,7,True,250,308,8,0,False,0.5385043745335993
visium/ju_2024,CPS_OV34RtOV1,9,9,8,True,183,176,1,0,False,0.0861349962689883
visium/ju_2024,CPS_OV5LtOV4,9,9,6,True,126,161,8,7,False,0.1583330087874168
visium/ju_2024,CPS_OV71_1,9,9,6,True,58,34,6,3,False,0.2553611346920339
visium/yamamoto_2025,Pt1-1,9,9,4,True,85,86,3,1,False,0.526705570162581
visium/yamamoto_2025,Pt1-2,9,9,5,True,34,90,7,0,False,0.428975514298221
visium/yamamoto_2025,Pt1-3,9,9,4,True,70,76,6,6,True,0.5108824931805749
visium/yamamoto_2025,Pt1-4,9,9,4,True,58,68,8,2,False,0.3366992791015502
visium/yamamoto_2025,Pt2-1,9,9,4,True,60,93,7,2,False,0.3147612988928709
visium/yamamoto_2025,Pt2-2,9,9,5,True,82,50,0,1,False,0.0903204972496238
visium/yamamoto_2025,Pt2-3,9,9,5,True,40,63,2,0,False,0.1941825731983751
visium/yamamoto_2025,Pt2-4,9,9,8,True,212,206,2,8,False,0.2588241054363593
